YEAR,CMTE_ID,TOTAL_TRANSACTIONS,CMTE_NAME
2006,C00392621,7000,SNOW PAC
2006,C00140061,7000,NATIONAL EMERGENCY MEDICINE POLITICAL ACTION COMMITTEE
2006,C00040568,7000,MARATHON OIL COMPANY EMPLOYEES POLITICAL ACTION COMMITTEE (MEPAC)
2004,C00042002,7000,R.J. REYNOLDS POLITICAL ACTION COMMITTEE; REYNOLDS AMERICAN INC.
2004,C00005249,7000,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMMITTEE
2004,C00007880,7000,CREDIT UNION LEGISLATIVE ACTION COUNCIL OF CUNA
2004,C00002972,7000,ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE) NATIONAL RURAL ELECTRIC COOP. ASSOC.
2004,C00236489,7000,KOCH INDUSTRIES INC POLITICAL ACTION COMMITTEE (KOCHPAC)
2004,C00113811,7000,"ELECTRICAL CONSTRUCTION PAC-NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC (ECPAC)"
2002,C00301366,7000,FREEDOM WORKS PAC
2002,C00010470,7000,UNION PACIFIC CORP FUND FOR EFFECTIVE GOVERNMENT
2002,C00315275,6714,REFORM PAC
2006,C00097550,6500,WASHINGTON GROUP INTERNATIONAL POLITICAL ACTION COMMITTEE
2006,C00229203,6500,"CHUBB CORPORATION POLITICAL ACTION COMMITTEE-CHUBBPAC, THE"
2004,C00150367,6500,VENTUREPAC
2002,C00009423,6500,LAND O'LAKES INC/AGRILIANCE LLC PAC (LOL PAC) FKA LAND O'LAKE INC PAC
2002,C00107771,6250,XCEL ENERGY EMPLOYEE POLITICAL ACTION COMMITTEE
2000,C70000716,6210,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION)
2004,C70000716,6204,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION)
2004,C00034132,6063,FLUOR CORPORATION PUBLIC AFFAIRS COMMITTEE
2006,C00253971,6000,FRIENDS OF PHIL GRAMM PAC
2006,C00039321,6000,PEPSICO INC. CONCERNED CITIZENS FUND
2006,C00066472,6000,PROPERTY CASUALTY INSURERS ASSOCIATION OF AMERICA POLITICAL ACTION COMMITTEE  (PCIPAC)
2006,C00109819,6000,COALPAC A POLITICAL ACTION COMMITTEE OF THE NATIONAL MINING ASSOCIATION
2006,C00387720,6000,US-CUBA DEMOCRACY POLITICAL ACTION COMMITTEE
2006,C00388934,6000,FUND FOR AMERICA'S FUTURE
2006,C00038604,6000,AMERICAN FINANCIAL SERVICES ASSOCIATION PAC
2006,C00068692,6000,FEDERAL EXPRESS POLITICAL ACTION COMMITTEE
2004,C00121368,6000,EXXONMOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC)
2004,C00227546,6000,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE
2004,C00237156,6000,QWEST COMMUNICATIONS INTERNATIONAL INC POLITICAL ACTION COMMITTEE
2004,C00370791,6000,MAJORITY INITIATIVE TO KEEP ELECTING REPUBLICANS FUND
2004,C00030718,6000,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE
2002,C00121368,6000,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC)
2002,C00018945,6000,DORSEY NATIONAL FUND
2006,C00095869,5757,POWERPAC OF THE EDISON ELECTRIC INSTITUTE
2006,C00076182,5500,NATIONAL TURKEY FEDERATION POLITICAL ACTION COMMITEE/TURPAC
2006,C00181826,5500,AETNA INC. POLITICAL ACTION COMMITTEE
2004,C00356915,5500,METRIS COMPANIES INC. POLITICAL ACTION COMMITTEE
2004,C00034785,5500,AMERICAN COLLECTORS ASSOCIATION INC (ACPAC)
2002,C00346536,5500,CLUB FOR GROWTH INC PAC
2006,C00151340,5000,DLA PIPER US LLP POLITICAL ACTION COMMITTEE (DLA PIPER PAC)
2006,C00314641,5000,LEADERSHIP PAC 2006
2006,C00311878,5000,MEDTRONIC INC. MEDICAL TECHNOLOGY FUND
2006,C00219642,5000,ENTERPRISE RENT-A-CAR COMPANY POLITICAL ACTION COMMITTEE
2006,C00307405,5000,KEEP OUR MAJORITY PAC
2006,C00243220,5000,SUPERVALU INC POLITICAL ACTION COMMITTEE
2006,C00245548,5000,NATIONAL MARINE MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE
2006,C00150995,5000,NATIONAL PAC INC A/K/A NATPAC
2006,C00250134,5000,COCA-COLA ENTERPRISES INC EMPLOYEES PAC
2006,C00295527,5000,CITIZENS UNITED POLITICAL VICTORY FUND
